song_title,artist
Because Of You,Cece Winans
Just My Baby,Rickie Lee Jones
I'm All Yours ,Rachael Lampa
Still Love Remains ,Seal
Maybe Someday...,Simply Red
Letters to Norway,Planetakis
Snow [Hey Oh] [Live Version],Red Hot Chili Peppers
Spoonful,Robben Ford
Le clair de lune à maubeuge,Bézu
j Uh!,Juana Molina
Silence,Mothers Pride
Absolute Horizon,Byzantine
Seventy Times Seven ,David Meece
Bright Lights_ Big City,Jim Jones / Max B
Turnpike,Halfway to Gone
Life Is Real,Ayo
They Know ,Rick Ross
The First Leaves Of Autumn,The Fureys
By Faith I Can Touch Him Now,The Perrys
Wolverine Blues  ,Bob Crosby
Passover,Joy Division
Blåsut,Sofia Karlsson
"Communication ';""b""""Mario Piu'""""",
Rock & Roll Renegade,The Frantic
Soo Bawlz,Devo
C'Est Moi L'BO$$,Ruffneck
Wait On The Lord  ,Shirley Caesar
She Flock To Me,Kurupt_ Rosco_ Jayo Felony & 40 Glocc
Genius,Kings Of Leon
"Evil Hearted Ada';""b""""Flamin' Groovies""""",
Ji Nian Pin,Candy Lo
Definition Of A Zilla'Naire,Tum Tum [DJ Drop Mix]
Travellin' ,The Jeremy Spencer Band
Studio Dialogue ,The Stooges
Roll Back The Clouds,Christie Hennessy
Introduction,Marga Gomez
That's The Kind Of Baby For Me,Eddie Cantor
Oriza Eh,Roberto Roena
My Party ,Kings Of Leon
Hole In The Coal,Pentangle
Suite nupcial ,Jaime Urrutia
Scenario,A Tribe Called Quest
Green Fields  ,Eddie Cano
Holla Boyz Outro,Shade Sheist / DJ Vice / DJ Echo / Damizza
Easter Parade ,Andy Russell
Gospel Train ,David Meece
Evalia,Placebo
Mambo del Beso,Orquesta Aragón
Boulevard In Heaven,Barbara Fairchild
Two Four One,Dave And Ansel Collins
Stagger Lee,Nick Cave & The Bad Seeds
I'll Come Running,Connie Smith
Thresh Hold,Uphill Battle
Broken Promises ,Moments In Grace
Boogie,Wilks featuring pee wee ellis
Neir,Mau Mau
Survivalism,Nine Inch Nails
Sarah Palin {I Wanna Lay Pipe},John Brown
Provisoirement,DÉSOLÉ
Nowhere To Run,Michael McDonald
Chlore,Pascal Obispo
AquaCityBoy,K-OS
Santa Claus Is Coming To Town,Buddy Miles
Fat Tianne,Tanto Metro & Devonte
"Lala Song (Matesi DJ ""Silverstatix""remix",Bob Sinclar
Houston Anthem,DJ Nasty
Dinner Party Pool Music,Angelo Badalamenti
Til The Storm Passes By,Bill & Gloria Gaither
Width Of The World,Tin Hat Trio
Music Of The Sun,Rihanna
More Than One Love,Venice
Street Lights,Kanye West
"Fire ';""b'Dolce; Orange Factory'",
Pegadito,Tommy Torres
Curiosity,The Jets
Cuando Ya Me Empiece A Quedar Solo,Sui Generis
La Matanza,Grace Gale
"Medley Final';""b""""Kassav'""""",
Beautiful,Eminem
Juggernaut,Cauda Pavonis
L.A. Arteest Café,Stew
On Tha Rox,King Tee
Had To Call   ,Twista
All Over Now,X
L'Amour en Heritage,Alain Morisod
Runaway Train ,Geddy Lee
No More Troubles,Sunnyland Slim
Two-Sided Politics,Suicidal Tendencies
Firedance,Mystic Rhythms Band
The Keys,Jerry Goldsmith
Prelude In C Minor From The Well Tempered-Clavier,Steve Erquiaga
Love Can Run Faster,Robert Palmer
Juste Une Fois,Alexis HK
New Detroit,Neon Blonde
Proud,Korn
Hopelessly,Epitaph
da da Diamonds,Soul Ballet
The Blue Side of The Sun,Sigmatropic
Livin' A Lie ,Milk Inc.
Let's Have Some Fun,Rodney O_ Joe Cooley
Platoon Goons,Snowgoons
Nigun,Kol Simcha
Questo sporco mondo meraviglioso,Piero Umiliani
Paul,Eminem
Up Close and Personal,Bukue One
Stay Awhile,Danny Williams
Everybody's Blues,Furry Lewis
A Man Can Only Stand Just So Much Pain ,Tony Joe White
Have you got a Minute to spare,Mikey Dread
Walkin' Away,Hanoi Rocks
Liar in the Glass,Eyes Set to Kill
Dolorosa ,Cali
Still I'm Sad,Rainbow
Ooh Baby ,Mr. Sancho
Let The Kingdom Come ,White Heart
Pantera Fans In Love,Nerf Herder
This Time ,David Meece
Looking For Clues,Robert Palmer
Personne Stop ,Royal S
After The Dark,Jimmy McGriff
Girls All Pause,Kurupt
Hengähä tok,Esa Pakarinen
Going Down,Bryan Ferry
TLFM ,Lara Fabian
Cerca & Extraño,Entre Ríos
Sensible,Sun Yan-Zi
I Am The Club ,Plies
Allegro io son,Juan Diego Flórez / Riccardo Frizza / Orchestra Sinfonica di Milano Giuseppe Verdi
Death Of Neira,Nightfall
My Lord,David Banner / Sky / Marcus
Whispering Grass,The Knightsbridge Strings
Occasional Rain,Terry Callier
Janice's Party,Fountains Of Wayne
Rock & Roll Overdose [Live Version],Kix
Otra vez,Abracadabra
Endless Ocean,Event Horizon
Ya Got Me,Nancy Walker
The High and The Mighty,Roger Williams
Again,Janet Jackson
Eu E Meu Coracao,João Gilberto
Twerk ,Basement Jaxx
Keep On Doing What I'm Doing,The Jackson Southernaires
All In A Day ,The Paul Butterfield Blues Band
Love the One You're With,Glen Washington
The Passion ,Aeoliah
Tobacco Spit,Bare Jr.
Just One Of Those Things,Dionne Warwick
"Je n'irai pas ailleurs"";""b""""France D' Amour""""",
...and Heavens Cried Blood,Swallow The Sun
Domino,Kiss
Where in the World,Tony Martin
Dedicado,Miguel Gallardo
To Your Arms of Love,Jah Cure
Das Gelübde,Tresenlesen
Aguas Claras De Olimpos,Pescado Rabioso
What Goes Around...Comes Around,Justin Timberlake
Jack's Lament,The All American Rejects
I'm On My Way Blues,Washboard Sam
Chocolate Squirrelador ,Dan Cummins
Appapas Del Calabar,Los Van Van
Cadillac Walk ,Willy DeVille
Drowning In Public Approval,Malefaction
Side Street,Viktor Krauss
Top Of The World,Jazz Crusaders
Bedtime Story ,Madonna
Nevada's Grace ,Atreyu
Get Away,Rooney
Moonlight Lover,Barbara Jones
Les Corps Glorieux: III. L'Ange aux parfums,Timothy Byram-Wigfield
Pimpin' Don't Fail Me Now [Featuring Jazze Pha and Juvenile] ,8Ball & MJG
Think About Me,Sister Hazel
Meat Parade,Lockwood
Even If I Tried,Emilio
Watermelon Man,Albert King
Flamenco Sketches ,Jason Miles
Mumbling or hearing loss?,Jeanne Robertson
Turn It Around,Bob Neuwirth
Summer Of Love,Novaspace
Escuta_ Noel,Maysa
Saved,9th Wonder
That's What You Said  ,Phil Collins
Manhã de Carnaval,Luiz Bonfa
Love Is Gonna Get You,Ben E. King
Light Of A Clear Blue Morning,Dolly Parton
Se Acabo El Carbon,Orquesta Sublime
Can't Stop ,Cabin Crew
Somebody Loan Me A Dime,Fenton Robinson
SOS,Rihanna
Caught In The Crossfire,April Wine
High-Speed French Train,Alexandre Desplat
Books & Books,The Almost
Fairground ,Simply Red
Ji Yi De Hua Yuan,Leon Lai
Goin' Steady,Tommy Sands
Didgeralia,David Hudson
Alone in Love,Craig Wedren
"Die berüehmte drü Wörtli';""b""""Oesch's die Dritten""""",
The American Ruse ,The MC5
Who Did You Think I Was,John Mayer
Stood Up,Floyd Cramer
Fertile Crescent ,Bad Religion
Ride Ranger Ride,Roy Rogers
Such Grand Ideas,Nybbl
Sandpolskan,Ale Möller
Down in the Lowlands,Charlie Peacock
Bank,Jean Carignan
Versos Gaiteros,Gran Coquivacoa
I Hope The Weather Stays Fine ,The Dylans
When A Man Is Wrong ,Seal
I've Got A Woman - Original,The Dells
Mexican Joe,Jim Reeves
Two Hearts,Phil Collins
The Professor's Conference/Horse Feathers ,The Marx Brothers
Lana Lee,The Refreshments
Ooh Wee Baby,Doyle Bramhall
Janus ,The Gone Jackals
All das mag ich,ÄI-TIEM
Navicularia,Berrogüetto
Owner Of My Heart ,Sasha
Boo Hoo,KT Tunstall
Losing Love ,Milk Inc.
Jesus Can Work It Out,The Jackson Southernaires
Three Times Seven,Doc & Merle Watson
The Wind ,Cece Winans
Good Girls_ Bad Guys,DMX / Dyme
Bartholdi's Dream,William Goldstein
,Mobb Deep
C30 C60 C90 Go,Bow Wow Wow
Exodus,Quincy Jones
Harlem Nocturne,Les Brown
Dogs,George Lopez
No tendrás casa,Kamelo Punto Semos
La Machine,Pascal Obispo
Bitesize - Electro Beats Mix,Ministry of Sound
"Cabide';""b""""Mart'nália""""",
21st Century Time Bomb,Opiate For The Masses
Perkiomen,Hall & Oates
"Tu Recuerdo';""b'Ricky Martin Feat. La Mari de """"Chambao'",
The Reach,White Willow
My Baby,Bukka White
Weighed Down,Plump DJs
Try Love,Sugar Minott
Ese Que Traes A Tu Lado,Los Barón De Apodaca
Jour De Chance ,Sasha
This Guitar Says Sorry,Billy Bragg
Southern Fried,DJ Nasty
Spanish Fly,Fudge Tunnel
The Way I Loved You,Taylor Swift
Silent Night_ Holy Night! ,Faith Hill
Pass The Earplugs,Ashes to Ashes
Ebb Tide,Tony Martin
Africa,Dusminguet
Metamorphosis,Amoral
Fortune Teller,The Rolling Stones
Crappy Shop ,Forensics
Way Way Back,Kool Moe Dee
This Little Child ,Scott Wesley Brown
The Munster Cloak,Seamus Egan
Sweet And Lovely,Tiny Tim
The Hood Comes First ,Naughty By Nature
Dance Into The Light ,Phil Collins
Lip Smacker,Poncho Sanchez
NE Thang,Natural Elements
Standing Knee Deep In a River ,Kathy Mattea
Un Res Pyr,Roger Subirana
Trio _ Movement 3: Moderato,Strata
Comerte A Besos ,Frankie Negron
Se Puede Salir,Vilma E Vampiros Palma
I'm Gonna Move To The Outskirts Of Town - Live,Albert King
Fabrication,React
Intro / Time For Some Action,N.E.R.D.
Heavy Like Sunday,Leona Naess
Exiliado En El Lavabo,Estopa
Creepshow Remixes ,Plump DJs
Finding My Way,Stanley Clarke & George Duke
Go Now - Original,Dennis Brown
There Will Come A Day ,Faith Hill
Comme Toi ,Jean-Jacques Goldman
Sleepwalker,Nightwish
Like Dylan In The Movies,Belle and Sebastian
How U Want It?,Ya Boy
Who Can Handle Me Is You,Little Milton
El Terror,Orquesta Harlow
The Earth Will Shake,Thrice
MY CONSOLATION ,Silverstein
The Think Drink Theme,The Harvey Averne Dozen
Bamboo Blue,Steven Halpern
Hunter,30 Seconds To Mars
Runnin' Away,Eddie Money
All My Senses,Mando Diao
Cancáo Do Amor Demais,Elizete Cardoso
Ojos Así,Shakira
Tatter Jack Walsh,The Russell Family
Lose This Skin,The Clash
Run's House,RUN-DMC
Spin ,Taking Back Sunday
Lullaby,Dixie Chicks
Here With Me,Arika Kane
Dancing With Ghosts,Epitaph
Al Munda Dios Amo ,Jaci Velasquez
Every Other Way,BT feat. JES
Career Suicide ,The Cliks
Obama's Election ,Mario Rosenstock
No One Hears You,Agnostic Front
Stranded In The Jungle,The New York Dolls
Air On A Six String,Oscar Castro-Neves
Somebody's Someone,Lonestar
Touch You,Sandy Posey
Rendez-Vous,Harry Diboula
Dying to Know ,Pennywise
Wow,Snow Patrol
Les Femmes Des Autres,Jacques Dutronc
Carnival ,Tito Puente
You Make Me Feel Good ,JK
Endless Flight,Gustavo Santaolalla
HUM,Mario Rosenstock
Black Diamond,Taking Dawn
It's Alright,Graham Central Station
Poem To A Horse,Shakira
Hohoemi No Bakudan ,Mawatari Matsuko
Underlying Lies,Scott Matthews
What If,Alex
Our Sand,Vusi Mahlasela
Då är det jul,Sanna Nielsen
Real_ Real_ Real ,Jesus Jones
Sweet Contradiction,Aaron Watson
666lb. Bongsession,Bongzilla
Sorrow's Call,Dave Eggar
Vogue [Live],Madonna
Dysfunction,Liquid Soul
Once a Year,Beenie Man
Top of the Hill_ Bottom of the Valley...Uhh!,Scissors for Sparrow
Hesitate,MyKungFu
Why can't we live together,Sin Plomo feat. Boris G.
Réjouissance [I'll Cry Instead],Joshua Rifkin
Katie,Mary Black
Drunken's Man's Dream,Suzy Thompson
No Sympathy For Fools,Behemoth
The Kingdom - Titles,Danny Elfman
Ethiopian Serenade,Mystic Revelation of Rastafari
Latinas,Flora Purim
"I Am Your Mother Too';""b""""Keb' Mo'""""",
Dangerous Dance,Dolores Keane
Wy Wouldn't I,Legacy Five
Rock America,Danger Danger
Sheds And Weeds ,José Roberto Bertrami
Don't Panic,Coldplay
My Soul Is Gonna Live With God,Josh White
Givin' My Love,Clay Crosse
Where Is The Love?,Bobby Broom
The Same God,Carman featuring Commissioned & The Christ Church Choir
Ultra-Funk,Los Amigos Invisibles
Living Again,John Wesley Ryles
La Alegria Del Batallon,Alfredo Kraus
Kalanta,Despina Vandi
Nehi Mamma Blues,Frank Stokes
Rappin' About Rappin' ,Junie
Presenting The Eight Wonder Of The World,Max Steiner
Smile,The London Pops Orchestra
Fell In Love Today,Lee Michaels
Voices Inside My Head,The Police
Walls Of Jericho ,Freddie McGregor
Everafter,Mark Feldman_ John Taylor_ Anders Jormin_ Tom Rainey
Farther Along ,Bill & Gloria Gaither
In The Midst,Byron Cage featuring Tye Tribbett
Buck's Going Downtown ,Buckwheat Zydeco
Hidden Sun,Room 5
It's All Wrong_ But It's All Right,Dolly Parton
You Turn Me,Vickie Winans
Sacred,Moonspell
Rain Love,Al Denson
Nomades Monades,Frederic Galliano
Mosquito Coil,Zeromancer
The Planet ,Gang Starr
The Last Stand,Statues
Hold On Tight,Lambda
How Beautiful ,Twila Paris
I Never Know,Singing Melody
How Long Will It Take,Warner mack
Something About Mary,Wyclef Jean
Aunque Tu Mami No Quiera,Grupo Sierra Maestra
Ella Weez,Leroy Hutson
Wicked Little Town ,Ben Jelen
Xing Dao Shou,Edmond Leung
The Process Revealed,Roj
Night is the Notion,Dax Riggs
Police Opression,Bruisers
God Lead Us Along ,Bill & Gloria Gaither
No Next Time,Ten Wheel Drive
Sympathy,Sylver
Persuasion,Santana
It's All In The Word,The Jackson Southernaires
1987,2 Minutos
Mona Lisa,Moon Mullican
Slave To Love  ,Bryan Ferry
Safe in Numbers ,Scalplock
Nervous Breakdown,Nerf Herder
Another Day Another Night,Klubbingman feat. Beatrix Delgado
A volta da mulher morena,Vinícius de Moraes
Nova ,Smut Peddlers
In Our Hands_ Once Again,Dead Hearts
Sin Poderte Hablar,Huey Dunbar
He Who Breeds Pestilence,Behemoth
No,Hot Chip
I Will Shelter You,Bob Carlisle
Folião Ausente,Spok Frevo Orquestra
Generation Aliens,Lizzy Borden
He Will Break Your Heart,Delbert McClinton
School,Nirvana
Realizer,The Crystal Method
Parto em terras distantes ,Brigada Victor Jara
The Urge To Merge,Kate Clinton
My Dear,Tha Liks featuring Defari
Building,Funeral For A Friend
Milk Cow Blues,Cliff Bruner
Part 1 ,Stephan Micus
Devon,Gabriel Yared
White Feather,Wolfmother
Gumby Killed the Dinosaur ,Pumpkin Buzzard
Si Mi Chiamano Mimila Boheme Act1 Remast,Herbert Von Karajan
This Kind Of Love ,Sister Hazel
Dreamer ,Janice Robinson
Ling Shi Shi Ji Fen,Edmond Leung
Shadows of the thought,Suicide
Wild Side,Mötley Crüe
Puedes ser feliz,SOL
Big Time Charlie,Cockney Rejects
Night Life,Charlie McCoy
How I Miss You Tonight,Adolph Hofner
Aurora ,Alex Gopher
My Lady,Lee Michaels
Sometime Ago,Philip Bailey
Somebody Sing,Wayne Watson
Hustlin',D.O.W.N.
Deja El Ultimo Baile Para Mi ,Los Iracundos
Tonight Will Last Forever ,Mest
"US Air Force';""b""""The Sun Harbor's Chorus-Documentary Recordings""""",
One Day At A Time,Cumberland Quartet
This Time,David Saylor
Love Don't Love Nobody,Roy Brown
Deckard,Deckard
That's How Strong My Love Is,Doyle Bramhall
Apples in the Trees ,Mirah
Coming Undone,Tantric
Summer Love Triangle,David Tao
Tranceplant,Organ Donors
Like A Deck Of Cards,Bedwetters
Here we are,The Refreshments
The Carpal Tunnel Of Love,Fall Out Boy
 Alone At A Table For Two,Hank Locklin
Don't Mess With Me ,Whitesnake
Just Keep It Up,Dee Clark
I WANNA HEAR IT FROM YOU,Eddy Raven
Party For Pink,Michelle & Vickie
Only You ,Sulk
Smoke,Trafik
Let It Be Me,Ben E. King
Heather,Floor
Slaughter The Gods,The Accursed
Silent Night,Sergio Franchi
Ma' Be Easy [Explicit Version],Fabolous
Lady Marmalade,Mongo Santamaria
Oblivious Darkness,Astarte
Tomorrow Never Knows,Dwight Twilley
Come ALong,Johnny Osbourne
Qué Desilusión,Mägo de Oz
Ostravaczech,Krystof
So Fresh,Tum Tum
Banho De Amor,Moraes Moreira
Angel Of Light ,Petra
The Hard Part's Letting Go,Jeff Talmadge
Danote,Darko
Regresa A Mi ,Yuridia
Tüflische Plan,Stern
Party In The Sky,Inspiral Carpets
Dream Lover,Plasmatics
I'm On To You,Hurricane
Cliff Burton Surprise,Tony Danza Tap Dance Extravaganza_ The
Storm In My Heart,Dolores Keane
Mama Don't Know Love,Fred Locks
Social Note,Lauren Wagner & Fred Weldy
Ouça,Maysa
Turn It Into Something Special ,Sasha
I'm callin,Mr. Sancho
Al'amadalah Assa'bah ,Ragheb Alama
Kettle Black,BLEED THE SKY
California_ Gracefully,Every Time I Die
One I Love,Coldplay
Don't Worry Baby ,Bryan Ferry
Narcotic,Methods Of Mayhem / Scott Kirkland
Might As Well Laugh,The Aftermath
It's A Long Way Around,Burning Spear
"Taps';""b""""The Sun Harbor's Chorus-Documentary Recordings""""",
Still I Will,Lisa Lynne
The Force,Onyx
Isolate,ZO2
"Bark At The Moon ';""b""""Wednesday 13's Frankenstein Drag Queens From Planet 13""""",
Don't Call Me Andy,Andrew W.K.
Who's Your Daddy?,Ed Byrne
Sag Ihnen Bescheid,Headliners
"Telephone Song';""b'The Vaughan Brothers;Stevie Ray Vaughan;Jimmy Vaughan'",
Bad Dreams,Lyrics Born
Dancer ,Babe Ruth
This Is How A Heart Breaks,Joe McBride
Heaven's Hero ,Greater Vision
Black Lung ,Rancid
Praying For Time,George Michael
Crash And Burn [Home Demo],Funeral For A Friend
Bare As You Dare,Lady Saw
Ilta Oulunjoella,Tulipunaruusut
It Only Takes Two To Tango,The Stranglers
Monkey & Turtle,David Hudson
Don't You Know How Much I Love You,Ronnie Milsap
Night Time,Hot Club Of Detroit
The Day After  ,Twista
Love Is Taking Hold,Al Denson
Love Ain't No Stranger ,Whitesnake
We Are Not Impartial,The Chap
Don't Go Away,Oasis
Little Louie Bonus,The Bucketheads
Get It Poppin' [Featuring Nelly]   [Serban Main 4/20/05],Fat Joe
Paralyzed,The Cardigans
Weekend,Dictators
Atlantic Shore,Máire Brennan
'Ti Monde ,BeauSoleil
Make Me Bad,Korn
Woe is Woman,The Skabs
Revelations:  Visions In A Dream,Tom Cochrane
Choro II,Charlie Byrd / Laurindo Almeida
Vendiste Los Gueyes -Maldita Miseria-,Mercedes Castro
Hold On ,Michelle Tumes
"An Mouvman';""b""""Kassav'""""",
Money In Da Bank [Screwed],Tum Tum
Beaux parleurs,Clarisse Lavanant
Seven Days Of Heaven,Knack
Pour Jane ,Cali
Wrapped Around Your Finger,The Police
L'a fête komine,Edith Lefel
Raining On The Cold_ Cold Ground,Lonnie Johnson
Nice Ride,Orbit
Sugar Coated Lover,Geiom Ft. Marita
Shit 3 Outro,F.l.y.
Degrees of Freedom,Rhian Sheehan
The Way We Were,The London Pops Orchestra
Gwendolina,Line Renaud
New Pony,Bob Dylan
I'm Going Through,Edwin Hawkins
El Manisero,Orlando Pops Orchestra
Pray On,Babbie Mason
Just One Girl,Gordon MacRae
Song Of David ,Maire Brennan
Um_ Um_ Um_ Um_ Um_ Um ,Major Lance
De Onda,Bersuit Vergarabat
My Mind Got Bad,Yank Rachell
FEZ-Being Born,U2
Olhos Ciganos,Luiz Bonfa
Writing Paper Blues,Blind Willie McTell
So Small ,Hushabye Baby
Over The Edge,Akon
Raining On Our Love,Shania Twain
All For Nothing,Since The Flood
I've Got a Home,Five Blind Boys of Alabama
My Melody Of Love,Ray Conniff
Felicidades,Arco Iris
Les Grande Bois,Jo-El Sonnier
Jacques Your Body / Sounds Of Wickedness ,Les Rythmes Digitales/ Tzant Feat. ODC MC
Prison Bound Blues,David Evans
Zero Db ,Brand X
Joking,Speaker
Water Blazz ,Christos Kedras
Safe Passage,Michael Gettel
What Child Is This?,Gold City
Not Right ,The Stooges
Shuo Ni Ai Wo,Will Pan
Lagian ne maujan,Faiz Ali Faiz
Fantasie ,Paso Doble
That Rock Won't Roll,Restless Heart
Wake The Sleeper,Uriah Heep
Salzanitos,Juan Carlos Baglietto
Katie's Song,Darryl Worley
Get Money,Mykill Miers
Start The Fire,Margaret Becker
Warum rappst du?,Kool Savas
One Eyed Jack,Joe McBride
Te estoy saboreando,Abracadabra
EU A4,Stress Assassin
Olha Pro Ceu,Quinteto Violado
Seed,Paloalto
Ask Fi War,Bounty Killer
Desde mi cielo,Mago de Oz
You Said You Loved Me,Orchids
Gone,Sugarbomb
Don't Lie,Dead To Me
Into My Eyes,Cherrelle
Almost Us,Jim Chappell
Pretty Woman ,The Paul Butterfield Blues Band
Intermezzo,The American Boychoir
Healed ,Shirley Caesar
Don't Let Your Heart Be Hardened ,Petra
Violence in Fluid Triceratops,Arsonists Get All The Girls
El Capitan ,Felix Slatkin/Concert Arts Symphonic Band
The Same Love That Made Me Laugh  [LP Version],Irma Thomas
Chorando Baixinho,Yamandu + Dominguinhos
How Can You Resist It,Teena Marie
He Will Break Your Heart,Jerry Butler
4/20/02,Pearl Jam
For You,Mr. Lif
Up North Trip,Mobb Deep
Rhumboso,Nestor Torres
Canto Triste,Edu Lobo
Eso No Tiene Remedio,Orquesta Aragon
One More Go Round,James Taylor
Isn't Radio,Roommate
Surf Bat ,45 Grave
Say Your Prayers,Gang Starr
The Kiss: Chris & The Model Airplane,Philip Glass
I Dream Of Chi Chi,Brian Tyler
Variations Sur Un Theme De Haydn Op51,Herbert Von Karajan
The Jezebel Spirit,Brian Eno And David Byrne
Dum Dum ,The Dee Jays
Le chacha des gorilles,Bézu
You Tell Me,Johnny Cash
They Held Hands,Dave Rave_ Mark McCarron
Tiempos Dificiles,Juan Carlos Baglietto
My Way,Little Milton
Goodbye ,Billy Bragg
Go Back,Crabby Appleton
1. Molto allegro con fuoco,Jean-Yves Thibaudet / Gewandhausorchester Leipzig / Herbert Blomstedt
Breiz Ma bro,André Blot
As The Hog Pisseth,All Leather
E Samba ,Junior Jack
Rock N Roll,Remi Nicole
Face To Face,Damita Jo
Rompan Todo,2 Minutos
Fin De Semana,Estrellas Cubanas
Santa Monica ,Alain Turban
Chime ,Orbital
Cutdown,Bongzilla
Bagdad by night,Ministère des Affaires Populaires
I'm Not Worth the Tears,Dolly Parton
Are We Here ?,Orbital
So Beautiful,Jarvis Church
Say Hello,April Wine
Stay Close To Me,Margaret Becker
I'm Down,Goldfinger
Alone Together,Charlie Haden & Chris Anderson
With Strength I Burn,Emperor
El Ausente/ El Preso/ El Caminante/ Tania,Fruko Y Sus Tesos
Echo,Joe Satriani
"Locomotive ';""b""""Guns N' Roses""""",
Château de sable,Rokia Traoré
La Palabra Fin,Johnny Pacheco/Rolando La Serie
Crash Course,UK Subs
September Song,Tony Martin
Missing You For A Mile,Beres Hammond
Strange Fruit,James Carter
Flight Of Earls,Barley Bree
The Luck You Got,The High Strung
Guided By History,Mithotyn
Turn It Out,Larry Graham & Graham Central Station
Search For Jenny,Francis Lai
Xiao Shuo Xiang,Leo Ku
Serenade,Slim Whitman
